Duration;Distance;CorrectedState;AvgSpeed
1159.0;1.0999999999999996;1.0;2.5452976704055215
184.0;0.1;0.0;0.1956521739130434
241.0;2.1;2.0;31.489626556016596
69.0;0.1;1.0;1.6231884057971016
320.0;0.1;0.0;0.2875
199.0;2.3000000000000003;2.0;41.64824120603015
299.0;0.5;1.0;4.538461538461538
117.0;1.0;2.0;28.97435897435897
502.0;0.2000000000000001;0.0;0.4362549800796812
116.0;0.1000000000000005;1.0;2.9482758620689653
128.0;1.1999999999999993;2.0;32.609375
583.0;0.9000000000000004;1.0;4.435677530017153
96.0;0.6999999999999993;2.0;23.604166666666668
77.0;0.200000000000001;1.0;7.922077922077922
93.0;0.0;0.0;0.1290322580645161
495.0;0.4999999999999999;1.0;2.6626262626262625
82.0;0.0999999999999996;2.0;0.8170731707317073
4755.0;8.699999999999998;1.0;5.536908517350158
422.0;0.2000000000000028;0.0;0.20853080568720372
184.0;0.0999999999999978;1.0;0.9293478260869563
1097.0;0.6000000000000014;0.0;0.13582497721057418
461.0;0.4999999999999998;1.0;2.2689804772234274
187.0;1.3999999999999986;2.0;26.433155080213904
479.0;0.5999999999999978;1.0;4.152400835073069
87.0;0.0;0.0;0.3103448275862068
1070.0;1.199999999999999;1.0;3.0514018691588785
102.0;0.0;0.0;0.0294117647058823
2272.0;2.5;1.0;2.780369718309859
449.0;0.1999999999999993;0.0;0.0690423162583518
2641.0;3.0;1.0;2.4774706550549035
91.0;0.0;0.0;0.1318681318681318
477.0;0.4999999999999999;1.0;2.9392033542976943
157.0;0.1000000000000014;0.0;0.0382165605095541
3548.0;3.900000000000013;1.0;3.062006764374295
